Subj,Age,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,Time to respond ,NameLength,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
2,5,1,Pred,Same,1482.19884,5317.625961,7929.626419,863,6447.427579,2612.000458,1749.000458,Yes
2,5,1,Pred,Same,1496.510982,5449.551732,7797.997984,1009,6301.487002,2348.446252,1339.446252,Yes
2,5,1,Pred,Same,1620.107992,5206.368962,6638.093302,539,5017.985311,1431.724341,892.724341,Yes
2,5,1,Pred,Same,1484.628792,5423.853686,7298.022359,1153,5813.393567,1874.168672,721.168672,Yes
2,5,1,Pred,Same,1481.205229,5524.183578,6600.58315,399,5119.377921,1076.399573,677.399573,Yes
2,5,1,Pred,Same,1482.182536,5452.779221,6860.237548,775,5378.055012,1407.458327,632.458327,Yes
2,5,1,Pred,Same,1644.31437,5318.807577,6446.090092,555,4801.775721,1127.282514,572.282514,Yes
2,5,1,Pred,Same,1656.922148,5247.664469,6610.567073,810,4953.644925,1362.902603,552.902603,Yes
2,5,1,Pred,Same,1479.15747,5350.99285,6325.10137,447,4845.9439,974.10852,527.10852,Yes
2,5,1,Pred,Same,1611.516434,5408.506571,6507.511169,681,4895.994735,1099.004598,418.004598,Yes
2,5,1,Pred,Same,1499.776496,5771.035455,6893.76863,742,5393.992133,1122.733175,380.733175,Yes
2,5,1,Pred,Same,1643.863117,5396.073651,7084.443833,1329,5440.580716,1688.370182,359.370182,Yes
2,5,1,Pred,Same,1463.948528,5410.520559,7440.778086,1768,5976.829558,2030.257528,262.257528,Yes
2,5,1,Pred,Same,1493.363636,5311.199454,6437.742135,891,4944.378499,1126.542681,235.542681,Yes
2,5,1,Pred,Same,1654.149011,5276.824422,6333.171278,824,4679.022267,1056.346856,232.346856,Yes
2,5,1,Pred,Same,1649.440857,5256.757912,6386.584233,927,4737.143375,1129.826321,202.826321,Yes
2,5,1,Pred,Same,1493.310219,5504.937232,6975.036572,1269,5481.726353,1470.09934,201.09934,Yes
2,5,1,Pred,Same,1632.482821,5248.179337,6075.043628,647,4442.560807,826.864291,179.864291,Yes
2,5,1,Pred,Same,1656.700438,5375.131789,6351.703279,948,4695.002841,976.571489,28.571489,Yes
2,5,1,Pred,Same,1484.031237,5403.730662,12155.68958,788,10671.65834,6751.958914,0,Yes
4,5,1,Pred,Same,1627.476945,5454.864588,7710.280242,681,6082.803297,2255.415655,1574.415655,
4,5,1,Pred,Same,1655.609568,5258.145495,7076.73295,647,5421.123382,1818.587455,1171.587455,
4,5,1,Pred,Same,1471.583198,5318.694753,7132.851085,863,5661.267887,1814.156331,951.156331,
4,5,1,Pred,Same,1460.694947,5386.22354,7386.295165,1153,5925.600219,2000.071625,847.071625,
4,5,1,Pred,Same,1470.875989,5573.034791,6800.376635,399,5329.500646,1227.341844,828.341844,
4,5,1,Pred,Same,1659.816886,5315.778266,6654.822165,555,4995.00528,1339.043899,784.043899,
4,5,1,Pred,Same,1648.368001,5375.483453,7265.62837,1329,5617.260369,1890.144917,561.144917,
4,5,1,Pred,Same,1477.34221,5751.164292,7016.116937,742,5538.774727,1264.952645,522.952645,
4,5,1,Pred,Same,1493.037263,5318.681326,6701.003552,891,5207.966289,1382.322227,491.322227,
4,5,1,Pred,Same,1506.36819,5508.626173,6668.630465,775,5162.262275,1160.004292,385.004292,
4,5,1,Pred,Same,1649.97643,5267.40447,6386.014747,824,4736.038317,1118.610277,294.610277,
4,5,1,Pred,Same,1472.500404,5491.778298,7017.353667,1269,5544.853263,1525.575368,256.575368,
4,5,1,Pred,Same,1650.689602,5263.736716,6409.34517,927,4758.655568,1145.608454,218.608454,
4,5,1,Pred,Same,1669.828641,5352.366841,6320.051004,810,4650.222362,967.684163,157.684163,
4,5,1,Pred,Same,1458.431025,5451.703798,7301.291181,1768,5842.860155,1849.587383,81.587383,
4,5,1,Pred,Same,1416.907766,5432.571963,6478.98634,1009,5062.078574,1046.414377,37.414377,
4,5,1,Pred,Same,1481.443577,5440.670096,9385.712594,707,7904.269017,3945.042498,0,
4,5,1,Pred,Same,1491.234267,5366.190549,11645.13214,447,10153.89787,6278.941592,0,
4,5,1,Pred,Same,1655.165808,5363.532666,6079.632351,948,4424.466543,716.099685,-231.900315,
5,5,1,Pred,Same,1629.432263,5323.817492,8284.343634,810,6654.911371,2960.526142,,
5,5,1,Pred,Same,1496.078444,5590.323662,7644.560692,399,6148.482249,2054.23703,1655.23703,
5,5,1,Pred,Same,1477.189441,5426.134921,8720.225266,1768,7243.035825,3294.090345,1526.090345,
5,5,1,Pred,Same,1576.088567,5454.701249,6959.092708,681,5383.004141,1504.391459,823.391459,
5,5,1,Pred,Same,1481.638634,5447.327379,6801.578786,775,5319.940152,1354.251407,579.251407,
5,5,1,Pred,Same,1486.124276,5372.282601,6389.357335,447,4903.233059,1017.074733,570.074733,
5,5,1,Pred,Same,1647.145597,5319.28569,6387.165707,555,4740.02011,1067.880017,512.880017,
5,5,1,Pred,Same,1630.041452,5229.737835,6348.464543,647,4718.423091,1118.726708,471.726708,
5,5,1,Pred,Same,1504.699049,5464.922536,6600.298776,707,5095.599727,1135.37624,428.37624,
5,5,1,Pred,Same,1472.676762,5426.792312,6947.280363,1153,5474.6036,1520.488051,367.488051,
5,5,1,Pred,Same,1480.998654,5439.192484,6779.505156,1009,5298.506502,1340.312672,331.312672,
5,5,1,Pred,Same,1515.997365,5313.601922,6399.224196,891,4883.226831,1085.622274,194.622274,
5,5,1,Pred,Same,1512.885282,5786.076102,6711.673226,742,5198.787943,925.597124,183.597124,
5,5,1,Pred,Same,1682.559863,5197.707384,6171.226875,824,4488.667012,973.519492,149.519492,
5,5,1,Pred,Same,1612.013152,5387.503231,9851.872197,1329,8239.859045,4464.368966,0,
5,5,1,Pred,Same,1651.379883,5379.849861,6305.934466,948,4654.554583,926.084605,-21.915395,
5,5,1,Pred,Same,1480.820491,5499.155293,6683.242035,1269,5202.421545,1184.086742,-84.913258,
6,5,1,Pred,Same,1512.714927,5784.087895,7705.002724,742,6192.287797,1920.914829,1178.914829,
6,5,1,Pred,Same,1688.513392,5337.820264,6466.484151,555,4777.970759,1128.663886,573.663886,
6,5,1,Pred,Same,1492.74278,5584.873994,6363.637597,399,4870.894817,778.763603,379.763603,
6,5,1,Pred,Same,1606.402702,5259.538976,6378.246095,824,4771.843393,1118.707118,294.707118,
6,5,1,Pred,Same,1649.527465,5330.271685,6313.711161,810,4664.183695,983.439476,173.439476,
6,5,1,Pred,Same,1673.756971,5360.856377,6389.448646,948,4715.691675,1028.592269,80.592269,
7,5,1,Pred,Same,1707.616622,5366.826849,9667.940851,1329,7960.324229,4301.114002,,
7,5,1,Pred,Same,1500.4349,5298.150687,7421.346222,715,5920.911322,2123.195535,1408.195535,
7,5,1,Pred,Same,1698.149591,5727.878457,8035.575682,959,6337.426091,2307.697225,1348.697225,
7,5,1,Pred,Same,1684.361787,5447.097839,7251.17797,681,5566.816183,1804.080132,1123.080132,
7,5,1,Pred,Same,1444.47317,5438.973678,6963.203384,775,5518.730214,1524.229706,749.229706,
7,5,1,Pred,Same,1499.098579,5245.640541,6210.658925,399,4711.560345,965.018384,566.018384,
7,5,1,Pred,Same,1693.538058,5238.762183,6236.277717,647,4542.739659,997.515533,350.515533,
7,5,1,Pred,Same,1654.154946,5320.125033,6435.787933,810,4781.632987,1115.6629,305.6629,
7,5,1,Pred,Same,1511.538517,5326.693783,6399.968232,891,4888.429714,1073.274448,182.274448,
7,5,1,Pred,Same,1437.696621,5381.524442,6341.012755,788,4903.316134,959.488312,171.488312,
7,5,1,Pred,Same,1465.390711,5447.345965,6286.914843,707,4821.524132,839.568879,132.568879,
7,5,1,Pred,Same,1468.231113,5406.176599,6396.420201,863,4928.189088,990.243602,127.243602,
7,5,1,Pred,Same,1445.964948,5447.614365,6808.906062,1269,5362.941115,1361.291697,92.291697,
7,5,1,Pred,Same,1463.332561,5311.088284,6546.606177,1153,5083.273616,1235.517893,82.517893,
7,5,1,Pred,Same,1419.847502,5102.142403,5705.491398,539,4285.643896,603.348995,64.348995,
7,5,1,Pred,Same,1459.855123,5433.852939,7002.731034,1768,5542.875911,1568.878095,-199.121905,
8,5,1,Pred,Same,1667.778012,5283.222628,9158.164828,927,7490.386816,3874.9422,,
8,5,1,Pred,Same,1458.498776,5205.085569,8358.153663,399,6899.654887,3153.068093,,
8,5,1,Pred,Same,1506.336777,5770.126495,9025.07311,742,7518.736334,3254.946615,,
8,5,1,Pred,Same,1514.807821,5282.083544,8433.554581,810,6918.746759,3151.471037,,
8,5,1,Pred,Same,1681.080253,5377.712267,8217.15191,948,6536.071657,2839.439643,1891.439643,
8,5,1,Pred,Same,1482.640926,5557.517886,7460.408542,399,5977.767616,1902.890656,1503.890656,
8,5,1,Pred,Same,1501.158786,5449.160723,7750.796707,1153,6249.637921,2301.635984,1148.635984,
8,5,1,Pred,Same,1472.852201,5352.49,6680.721896,447,5207.869694,1328.231896,881.231896,
8,5,1,Pred,Same,1502.342373,5524.587963,7609.891517,1269,6107.549144,2085.303554,816.303554,
8,5,1,Pred,Same,1481.77376,5411.134082,6890.70803,788,5408.93427,1479.573948,691.573948,
8,5,1,Pred,Same,1488.492676,5454.689011,6909.225943,775,5420.733267,1454.536932,679.536932,
8,5,1,Pred,Same,1477.777152,5461.753417,7101.249822,1009,5623.47267,1639.496405,630.496405,
8,5,1,Pred,Same,1494.024927,5454.725392,6500.624649,707,5006.599722,1045.899257,338.899257,
8,5,1,Pred,Same,1682.233576,5427.30093,6958.079411,1329,5275.845835,1530.778481,201.778481,
8,5,1,Pred,Same,1452.790923,5652.712123,7504.217687,1768,6051.426764,1851.505564,83.505564,
8,5,1,Pred,Same,1715.893013,5272.715481,12498.44547,824,10782.55246,7225.729991,0,
8,5,1,Pred,Same,1501.952545,5347.863082,10837.30705,891,9335.354503,5489.443966,0,
8,5,1,Pred,Same,1644.698485,5442.396137,11325.7831,681,9681.084619,5883.386967,0,
8,5,1,Pred,Same,1675.239367,5185.835827,9737.246055,647,8062.006688,4551.410228,0,
8,5,1,Pred,Same,1716.165998,5194.801418,24912.20872,539,23196.04272,19717.4073,0,
8,5,1,Pred,Same,1477.674672,5516.591918,9709.767698,959,8232.093026,4193.175781,0,
8,5,1,Pred,Same,1825.767573,5394.035878,15850.58148,715,14024.81391,10456.54561,0,
9,5,1,Pred,Same,1669.864812,5236.658307,8839.119737,927,7169.254924,3602.46143,,
9,5,1,Pred,Same,1468.987535,5435.051429,8489.87526,788,7020.887724,3054.82383,,
9,5,1,Pred,Same,1432.648314,5482.39997,7762.131082,959,6329.482768,2279.731112,1320.731112,
9,5,1,Pred,Same,1454.745464,5393.855848,8093.787757,1768,6639.042293,2699.931909,931.931909,
9,5,1,Pred,Same,1677.037028,5207.380449,6612.595575,539,4935.558547,1405.215126,866.215126,
9,5,1,Pred,Same,1394.317495,5432.327421,6905.875398,707,5511.557903,1473.547977,766.547977,
9,5,1,Pred,Same,1502.88829,5630.614979,6777.599067,399,5274.710777,1146.984089,747.984089,
9,5,1,Pred,Same,1467.718532,5342.000093,6410.005466,447,4942.286934,1068.005373,621.005373,
9,5,1,Pred,Same,1461.433835,5264.694642,6759.334036,891,5297.900201,1494.639394,603.639394,
9,5,1,Pred,Same,1628.750623,5297.772897,6415.887349,555,4787.136727,1118.114452,563.114452,
9,5,1,Pred,Same,1443.374818,5425.756391,6755.69352,775,5312.318703,1329.93713,554.93713,
9,5,1,Pred,Same,1469.85378,5221.85167,6135.511835,399,4665.658054,913.660165,514.660165,
9,5,1,Pred,Same,1464.17185,5481.511464,7165.249391,1269,5701.077542,1683.737927,414.737927,
9,5,1,Pred,Same,1654.287433,5464.825581,6527.459313,681,4873.171879,1062.633732,381.633732,
9,5,1,Pred,Same,1629.235119,5341.874018,7006.820329,1329,5377.58521,1664.946311,335.946311,
9,5,1,Pred,Same,1677.657683,5281.86527,6394.834219,810,4717.176536,1112.96895,302.96895,
9,5,1,Pred,Same,1452.380282,5434.513924,6828.661316,1153,5376.281035,1394.147392,241.147392,
9,5,1,Pred,Same,1502.787464,5362.481971,6448.021052,863,4945.233588,1085.53908,222.53908,
9,5,1,Pred,Same,1635.944129,5260.524406,6297.027187,824,4661.083057,1036.502781,212.502781,
9,5,1,Pred,Same,1633.509353,5236.822615,5993.220606,647,4359.711252,756.397991,109.397991,
9,5,1,Pred,Same,1503.421873,5561.826739,6238.22755,715,4734.805676,676.400811,-38.599189,
9,5,1,Pred,Same,1639.82708,5364.697085,5986.505239,948,4346.678159,621.808155,-326.191845,
10,5,1,Pred,Same,1501.984222,5222.597472,8420.199785,399,6918.215563,3197.602312,,
10,5,1,Pred,Same,1680.708556,5456.836196,6929.076268,681,5248.367712,1472.240072,791.240072,
10,5,1,Pred,Same,1468.934275,5311.761084,6635.075572,715,5166.141297,1323.314488,608.314488,
10,5,1,Pred,Same,1666.108502,5202.721383,6328.998475,539,4662.889973,1126.277092,587.277092,
10,5,1,Pred,Same,1458.747968,5381.271741,6746.183966,788,5287.435998,1364.912225,576.912225,
10,5,1,Pred,Same,1651.154903,5265.302097,6562.622721,810,4911.467818,1297.320623,487.320623,
10,5,1,Pred,Same,1483.6187,5301.421352,6636.168046,891,5152.549346,1334.746694,443.746694,
10,5,1,Pred,Same,1474.132466,5428.674221,6859.7892,1009,5385.656733,1431.114979,422.114979,
10,5,1,Pred,Same,1481.073072,5475.950451,6831.225709,959,5350.152637,1355.275258,396.275258,
10,5,1,Pred,Same,1476.416206,5444.899487,6536.258933,775,5059.842728,1091.359446,316.359446,
10,5,1,Pred,Same,1495.346585,5509.785462,7003.707793,1269,5508.361208,1493.922331,224.922331,
10,5,1,Pred,Same,1460.070256,5322.224793,6324.960081,863,4864.889824,1002.735288,139.735288,
11,5,1,Pred,Same,1503.540284,5464.411086,8509.467828,707,7005.927544,3045.056742,,
11,5,1,Pred,Same,1479.068539,5539.867377,7300.913882,399,5821.845343,1761.046505,1362.046505,
11,5,1,Pred,Same,1644.651905,5453.205403,7125.292113,681,5480.640208,1672.08671,991.08671,
11,5,1,Pred,Same,1495.651687,5788.294653,7515.180978,742,6019.529292,1726.886325,984.886325,
11,5,1,Pred,Same,1667.676997,5415.817507,7579.518341,1329,5911.841344,2163.700835,834.700835,
11,5,1,Pred,Same,1493.450182,5334.801405,6994.567816,891,5501.117634,1659.766411,768.766411,
11,5,1,Pred,Same,1477.422225,5437.477638,6893.061567,775,5415.639341,1455.583929,680.583929,
11,5,1,Pred,Same,1645.007979,5256.137735,6804.799841,927,5159.791863,1548.662106,621.662106,
11,5,1,Pred,Same,1477.973331,5426.174002,7182.745301,1153,5704.77197,1756.571299,603.571299,
11,5,1,Pred,Same,1493.073402,5507.84826,7319.058535,1269,5825.985133,1811.210274,542.210274,
11,5,1,Pred,Same,1660.157447,5253.318399,6411.52128,647,4751.363832,1158.202881,511.202881,
11,5,1,Pred,Same,1518.771926,5420.259372,6337.623571,447,4818.851645,917.364199,470.364199,
11,5,1,Pred,Same,1633.184744,5261.833396,6530.604117,824,4897.419373,1268.770721,444.770721,
11,5,1,Pred,Same,1624.576629,5239.306508,6437.265826,810,4812.689197,1197.959318,387.959318,
11,5,1,Pred,Same,1516.152194,5458.107474,6805.9355,1009,5289.783305,1347.828026,338.828026,
11,5,1,Pred,Same,1651.5679,5324.444297,6212.381254,555,4560.813354,887.936957,332.936957,
11,5,1,Pred,Same,1669.947341,5398.39172,6516.434309,948,4846.486967,1118.042588,170.042588,
11,5,1,Pred,Same,1504.819237,5457.607483,7321.133668,1768,5816.314431,1863.526185,95.526185,
12,5,1,Pred,Same,1645.423849,5316.730634,6484.982959,555,4839.55911,1168.252325,613.252325,
12,5,1,Pred,Same,1479.738823,5541.926552,6553.263358,399,5073.524535,1011.336806,612.336806,
12,5,1,Pred,Same,1500.922431,5373.098451,6347.336651,447,4846.414221,974.2382,527.2382,
12,5,1,Pred,Same,1481.570895,5226.958651,6129.589844,399,4648.018949,902.631192,503.631192,
12,5,1,Pred,Same,1646.124967,5256.397727,6523.563559,810,4877.438592,1267.165832,457.165832,
12,5,1,Pred,Same,1497.342335,5315.661268,6618.559511,891,5121.217176,1302.898243,411.898243,
12,5,1,Pred,Same,1508.076803,5777.085052,6874.045646,742,5365.968843,1096.960594,354.960594,
12,5,1,Pred,Same,1520.19251,5439.610918,6561.728319,788,5041.535809,1122.117401,334.117401,
12,5,1,Pred,Same,1497.502598,5457.861313,6431.823233,707,4934.320635,973.961921,266.961921,
12,5,1,Pred,Same,1477.749999,5310.42406,6268.321684,715,4790.571685,957.897623,242.897623,
12,5,1,Pred,Same,1462.496337,5428.871243,6436.389486,775,4973.893149,1007.518243,232.518243,
12,5,1,Pred,Same,1642.053022,5243.897928,6113.729791,647,4471.676769,869.831863,222.831863,
12,5,1,Pred,Same,1638.091354,5263.173764,6307.0536,824,4668.962246,1043.879835,219.879835,
12,5,1,Pred,Same,1639.355332,5367.968597,6533.659704,948,4894.304372,1165.691108,217.691108,
12,5,1,Pred,Same,1628.199356,5439.120945,6312.341853,681,4684.142496,873.220908,192.220908,
12,5,1,Pred,Same,1435.945689,5276.325866,6314.749434,863,4878.803746,1038.423568,175.423568,
12,5,1,Pred,Same,1451.824151,5397.639883,6533.900119,1009,5082.075968,1136.260237,127.260237,
12,5,1,Pred,Same,1643.526705,5255.13219,6250.707217,927,4607.180512,995.575026,68.575026,
12,5,1,Pred,Same,1643.536013,5390.156447,6758.991139,1329,5115.455126,1368.834692,39.834692,
12,5,1,Pred,Same,1476.976703,5468.657611,7250.60948,1768,5773.632778,1781.951869,13.951869,
12,5,1,Pred,Same,1649.908403,5182.125942,5730.660614,539,4080.752212,548.534673,9.534673,
12,5,1,Pred,Same,1481.166005,5430.689061,6582.286491,1153,5101.120487,1151.59743,-1.40257,
12,5,1,Pred,Same,1500.316982,5492.768496,6360.676005,959,4860.359023,867.907509,-91.092491,
12,5,1,Pred,Same,1493.209295,5508.737704,6678.869852,1269,5185.660557,1170.132149,-98.867851,
13,5,1,Pred,Same,1477.894621,5437.54566,8369.200764,707,6891.306143,2931.655104,,
13,5,1,Pred,Same,1494.959082,5554.378304,7017.872812,399,5522.913731,1463.494509,1064.494509,
13,5,1,Pred,Same,1663.872078,5276.112904,6789.235356,810,5125.363279,1513.122453,703.122453,
13,5,1,Pred,Same,1459.810466,5410.48181,7175.746587,1153,5715.93612,1765.264777,612.264777,
13,5,1,Pred,Same,1628.607567,5435.144696,6679.109164,681,5050.501597,1243.964467,562.964467,
13,5,1,Pred,Same,1503.390472,5470.045935,6757.131883,775,5253.74141,1287.085948,512.085948,
13,5,1,Pred,Same,1643.082005,5390.493563,7073.164264,1329,5430.082259,1682.670701,353.670701,
13,5,1,Pred,Same,1485.847348,5365.048847,6164.592255,447,4678.744906,799.543407,352.543407,
13,5,1,Pred,Same,1493.341102,5507.65995,7115.715906,1269,5622.374803,1608.055955,339.055955,
13,5,1,Pred,Same,1643.033143,5256.725382,6197.938505,647,4554.905362,941.213123,294.213123,
13,5,1,Pred,Same,1498.298806,5766.805605,6777.285496,742,5278.98669,1010.479891,268.479891,
13,5,1,Pred,Same,1649.284188,5319.839024,6106.420879,555,4457.136692,786.581855,231.581855,
13,5,1,Pred,Same,1494.861157,5442.286273,6640.262158,1009,5145.401001,1197.975885,188.975885,
13,5,1,Pred,Same,1640.073062,5252.349845,6351.572354,927,4711.499292,1099.222509,172.222509,
13,5,1,Pred,Same,1641.971955,5271.92618,6231.585235,824,4589.61328,959.659055,135.659055,
13,5,1,Pred,Same,1642.47929,5372.948567,6345.40996,948,4702.930671,972.461393,24.461393,
13,5,1,Pred,Same,1490.299786,5499.655763,7036.630984,1768,5546.331198,1536.97522,-231.02478,
13,5,1,Pred,Same,1475.12685,5294.677278,5895.186927,891,4420.060076,600.509648,-290.490352,
14,5,1,Pred,Same,1507.48649,5459.198093,8671.184214,1009,7163.697725,3211.986121,,
14,5,1,Pred,Same,1473.953145,5534.739327,7771.297138,399,6297.343993,2236.557811,1837.557811,
14,5,1,Pred,Same,1459.459138,5423.962106,7699.946214,775,6240.487075,2275.984108,1500.984108,
14,5,1,Pred,Same,1639.656825,5449.240354,6816.538713,681,5176.881888,1367.298359,686.298359,
14,5,1,Pred,Same,1642.034693,5174.190555,6514.305043,810,4872.27035,1340.114488,530.114488,
14,5,1,Pred,Same,1436.788363,5269.532522,6638.779477,891,5201.991114,1369.246955,478.246955,
14,5,1,Pred,Same,1644.042221,5373.344838,6758.090839,948,5114.048618,1384.746001,436.746001,
14,5,1,Pred,Same,1494.787089,5765.090769,6919.297063,742,5424.509974,1154.206294,412.206294,
14,5,1,Pred,Same,1666.680243,5295.750955,6425.395124,824,4758.714881,1129.644169,305.644169,
14,5,1,Pred,Same,1646.182357,5316.52309,6131.263775,555,4485.081418,814.740685,259.740685,
14,5,1,Pred,Same,1656.703329,5245.656389,6313.185608,927,4656.482278,1067.529219,140.529219,
14,5,1,Pred,Same,1450.730245,5465.79429,6796.013805,1269,5345.283561,1330.219515,61.219515,
15,5,1,Pred,Same,1494.083516,5555.174833,6543.142854,399,5049.059338,987.968021,588.968021,
15,5,1,Pred,Same,1659.951868,5266.202019,6657.222547,824,4997.270679,1391.020528,567.020528,
15,5,1,Pred,Same,1491.959346,5308.737138,6590.306441,891,5098.347096,1281.569303,390.569303,
15,5,1,Pred,Same,1650.301945,5458.388635,6474.912378,681,4824.610432,1016.523743,335.523743,
15,5,1,Pred,Same,1665.756273,5282.438271,6365.684662,810,4699.928389,1083.246391,273.246391,
15,5,1,Pred,Same,1497.926183,5445.876314,6713.248279,1009,5215.322096,1267.371966,258.371966,
15,5,1,Pred,Same,1495.439697,5787.661667,6781.22276,742,5285.783063,993.561093,251.561093,
15,5,1,Pred,Same,1653.420665,5323.587717,6128.105397,555,4474.684731,804.51768,249.51768,
15,5,1,Pred,Same,1481.585877,5441.610302,6367.239933,775,4885.654055,925.629631,150.629631,
15,5,1,Pred,Same,1491.482327,5508.620764,6908.98764,1269,5417.505312,1400.366875,131.366875,
15,5,1,Pred,Same,1647.201897,5258.605449,6227.691077,927,4580.48918,969.085627,42.085627,
15,5,1,Pred,Same,1649.762094,5378.130632,6241.642335,948,4591.880241,863.511703,-84.488297,
16,5,1,Pred,Same,1640.709158,5312.34629,7402.271643,555,5761.562485,2089.925353,1534.925353,
16,5,1,Pred,Same,1474.621969,5535.322735,7319.431157,399,5844.809188,1784.108422,1385.108422,
16,5,1,Pred,Same,1449.854072,5422.357196,7519.269126,1009,6069.415053,2096.911929,1087.911929,
16,5,1,Pred,Same,1436.294517,5398.390025,6992.545163,775,5556.250646,1594.155139,819.155139,
16,5,1,Pred,Same,1646.811264,5377.851291,7078.021718,948,5431.210454,1700.170427,752.170427,
16,5,1,Pred,Same,1649.710416,5268.934692,6790.655621,810,5140.945206,1521.720929,711.720929,
16,5,1,Pred,Same,1642.362938,5269.601049,6536.679475,824,4894.316537,1267.078426,443.078426,
16,5,1,Pred,Same,1602.305278,5411.829383,6526.585262,681,4924.279984,1114.755879,433.755879,
16,5,1,Pred,Same,1519.244189,5533.140356,7191.733482,1269,5672.489293,1658.593126,389.593126,
16,5,1,Pred,Same,1495.51538,5767.282758,6750.732555,742,5255.217175,983.449797,241.449797,
16,5,1,Pred,Same,1630.095221,5246.050933,6407.960467,927,4777.865245,1161.909534,234.909534,
16,5,1,Pred,Same,1505.332568,5323.31213,6441.550015,891,4936.217446,1118.237884,227.237884,
17,5,1,Pred,Same,1476.398827,5293.204269,7254.917341,891,5778.518514,1961.713071,1070.713071,
17,5,1,Pred,Same,1458.342159,5395.918283,7019.480702,707,5561.138543,1623.562419,916.562419,
17,5,1,Pred,Same,1649.140084,5262.867527,6732.175995,810,5083.035911,1469.308468,659.308468,
17,5,1,Pred,Same,1668.207699,5274.722136,6535.742664,824,4867.534965,1261.020529,437.020529,
17,5,1,Pred,Same,1640.806324,5253.061212,6480.810038,927,4840.003714,1227.748826,300.748826,
17,5,1,Pred,Same,1473.294902,5511.662618,7055.467352,1269,5582.172449,1543.804734,274.804734,
17,5,1,Pred,Same,1483.466767,5430.441338,6789.69058,1153,5306.223813,1359.249242,206.249242,
17,5,1,Pred,Same,1439.354142,5433.715215,6405.432928,775,4966.078786,971.717713,196.717713,
17,5,1,Pred,Same,1451.731416,5722.181821,6567.021128,742,5115.289711,844.839306,102.839306,
17,5,1,Pred,Same,1484.974558,5458.143977,6462.337468,1009,4977.362909,1004.19349,-4.80651,
17,5,1,Pred,Same,1711.800359,5376.473839,6287.209794,948,4575.409435,910.735955,-37.264045,
18,5,1,Pred,Same,1490.208145,5760.344467,7606.210579,742,6116.002434,1845.866112,1103.866112,
18,5,1,Pred,Same,1476.743446,5440.271389,7250.700795,775,5773.957349,1810.429406,1035.429406,
18,5,1,Pred,Same,1490.227812,5553.064513,6910.458403,399,5420.230591,1357.39389,958.39389,
18,5,1,Pred,Same,1516.677606,5331.831273,7033.435087,891,5516.757481,1701.603814,810.603814,
18,5,1,Pred,Same,1649.070741,5261.460124,6602.001504,810,4952.930763,1340.54138,530.54138,
18,5,1,Pred,Same,1494.751192,5533.46802,7311.524014,1269,5816.772823,1778.055994,509.055994,
18,5,1,Pred,Same,1644.905107,5318.232821,6377.012622,555,4732.107515,1058.7798,503.7798,
18,5,1,Pred,Same,1649.209872,5258.797721,6651.110697,927,5001.900824,1392.312975,465.312975,
18,5,1,Pred,Same,1626.855299,5434.434066,6540.437258,681,4913.581958,1106.003192,425.003192,
