Subj,Age Group,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,Time to respond ,NameLength,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
2,3,1,Pred,Same,1482.133753,5775.843248,7339.307923,742,5857.17417,1563.464675,821.4646755,y
2,3,1,Pred,Same,1439.821719,5425.154322,6482.486309,707,5042.66459,1057.331987,350.3319873,y
2,3,1,Pred,Same,1638.610238,5238.007278,6271.040344,810,4632.430106,1033.033066,223.0330661,y
2,3,1,Pred,Same,1465.79994,5508.010751,6914.845865,1269,5449.045925,1406.835114,137.8351137,y
2,3,1,Pred,Same,1646.325738,5319.555057,6009.141676,555,4362.815939,689.5866194,134.5866194,y
2,3,1,Pred,Same,1633.500754,5363.824113,6438.669111,948,4805.168357,1074.844998,126.8449979,y
2,3,1,Pred,Same,1473.51046,5421.3939,6498.499855,1009,5024.989396,1077.105955,68.10595508,y
2,3,1,Pred,Same,1643.174512,5256.562695,6240.203445,927,4597.028933,983.6407499,56.64074991,y
2,3,1,Pred,Same,1496.77632,5314.270762,6246.666566,891,4749.890246,932.3958041,41.39580411,y
6,3,1,Pred,Same,1497.073177,5557.994005,7100.118249,399,5603.045072,1542.124243,1143.124243,y
6,3,1,Pred,Same,1467.243339,5289.464623,7315.620611,891,5848.377272,2026.155988,1135.155988,y
6,3,1,Pred,Same,1522.489066,5471.785828,7555.812422,1009,6033.323356,2084.026594,1075.026594,y
6,3,1,Pred,Same,1692.538368,5363.906915,6526.318549,555,4833.78018,1162.411634,607.4116335,y
6,3,1,Pred,Same,1625.613868,5432.268103,6702.823816,681,5077.209948,1270.555712,589.5557124,y
6,3,1,Pred,Same,1476.997755,5435.528308,6634.923195,775,5157.92544,1199.394888,424.3948878,y
6,3,1,Pred,Same,1492.165847,5763.262515,6923.751148,742,5431.585301,1160.488634,418.488634,y
6,3,1,Pred,Same,1634.876177,5247.034464,6323.029376,810,4688.153199,1075.994912,265.9949124,y
6,3,1,Pred,Same,1662.335478,5249.058862,6438.269191,927,4775.933713,1189.210329,262.2103289,y
6,3,1,Pred,Same,1464.745406,5478.769088,7008.067498,1269,5543.322092,1529.298411,260.2984107,y
6,3,1,Pred,Same,1650.016847,5276.346582,6291.113342,824,4641.096495,1014.766759,190.7667593,y
6,3,1,Pred,Same,1690.720844,5443.066603,6416.308776,948,4725.587933,973.242173,25.24217305,y
7,3,1,Pred,Same,1627.548868,5372.691545,9841.141423,1329,8213.592556,4468.449878,,y
7,3,1,Pred,Same,1494.307846,5373.355059,7633.246537,447,6138.938691,2259.891479,1812.891479,y
7,3,1,Pred,Same,1644.394598,5264.217202,6580.829082,647,4936.434484,1316.61188,669.6118798,y
7,3,1,Pred,Same,1501.834577,5461.745861,6826.333329,707,5324.498752,1364.587468,657.5874675,y
7,3,1,Pred,Same,1504.834687,5431.666405,6881.686596,1153,5376.851909,1450.020191,297.0201913,y
7,3,1,Pred,Same,1497.659447,5449.292634,7341.992473,1768,5844.333025,1892.699838,124.6998381,y
8,3,1,Pred,Same,1490.083072,5550.49806,7182.186257,399,5692.103185,1631.688197,1232.688197,y
8,3,1,Pred,Same,1658.89374,5311.521581,6658.857403,555,4999.963664,1347.335822,792.3358218,y
8,3,1,Pred,Same,1465.213053,5344.418431,6208.717265,447,4743.504212,864.2988341,417.2988341,n
8,3,1,Pred,Same,1629.143557,5228.418317,6194.667581,647,4565.524024,966.249264,319.249264,y
8,3,1,Pred,Same,1481.879421,5444.166166,6523.946173,775,5042.066752,1079.780007,304.7800071,y
8,3,1,Pred,Same,1571.563656,5390.9518,6489.289113,891,4917.725457,1098.337313,207.3373135,y
8,3,1,Pred,Same,1652.494509,5264.742902,6271.516204,810,4619.021695,1006.773301,196.7733012,y
8,3,1,Pred,Same,1512.733764,5527.548561,6932.746713,1269,5420.012948,1405.198152,136.1981518,y
8,3,1,Pred,Same,1502.993882,5449.857469,6592.734049,1009,5089.740167,1142.87658,133.8765798,y
8,3,1,Pred,Same,1666.442788,5474.317902,6268.428213,681,4601.985425,794.1103108,113.1103108,y
8,3,1,Pred,Same,1485.383414,5755.637656,6563.52618,742,5078.142766,807.8885235,65.88852354,y
8,3,1,Pred,Same,1492.664968,5476.271647,6181.344585,707,4688.679617,705.0729373,-1.927062701,n
8,3,1,Pred,Same,1617.680464,5363.614788,6681.304202,1329,5063.623738,1317.689414,-11.31058603,y
8,3,1,Pred,Same,1626.025984,5357.09212,6229.124523,948,4603.098538,872.0324031,-75.96759691,y
9,3,1,Pred,Same,1674.847173,5348.082272,8175.155503,555,6500.30833,2827.073231,,y
9,3,1,Pred,Same,1500.162956,5463.100672,7830.273418,1153,6330.110462,2367.172747,1214.172747,y
9,3,1,Pred,Same,1565.184694,5525.61574,7395.112771,707,5829.928078,1869.497032,1162.497032,y
9,3,1,Pred,Same,1494.449829,5555.610801,6689.423659,399,5194.97383,1133.812858,734.8128583,y
9,3,1,Pred,Same,1510.003715,5329.396267,6919.997554,891,5409.993839,1590.601286,699.6012864,n
9,3,1,Pred,Same,1645.26062,5452.375559,6644.469099,681,4999.208479,1192.09354,511.0935401,y
9,3,1,Pred,Same,1640.897602,5255.208236,6322.532427,647,4681.634826,1067.324191,420.3241911,y
9,3,1,Pred,Same,1480.722477,5359.417008,6196.497793,447,4715.775316,837.0807847,390.0807847,y
9,3,1,Pred,Same,1453.320194,5723.880332,6755.178984,742,5301.85879,1031.298652,289.2986515,y
9,3,1,Pred,Same,1665.067656,5275.320072,6272.060712,810,4606.993055,996.7406402,186.7406402,y
9,3,1,Pred,Same,1664.193204,5271.882583,6244.178171,824,4579.984967,972.2955884,148.2955884,y
9,3,1,Pred,Same,1475.265182,5491.665242,6872.889495,1269,5397.624313,1381.224253,112.2242526,y
9,3,1,Pred,Same,1681.028447,5275.093066,6248.951447,927,4567.923,973.8583807,46.85838071,y
9,3,1,Pred,Same,1646.136829,5378.162005,6264.720064,948,4618.583235,886.558059,-61.44194101,y
11,3,1,Pred,Same,1601.224513,5409.423445,7552.938997,681,5951.714483,2143.515552,1462.515552,Yes
11,3,1,Pred,Same,1616.786415,5398.897258,8037.827704,1329,6421.041288,2638.930446,1309.930446,Yes
11,3,1,Pred,Same,1491.478434,5579.800611,7273.187305,399,5781.708871,1693.386694,1294.386694,Yes
11,3,1,Pred,Same,1492.247736,5755.33835,7738.047576,742,6245.79984,1982.709226,1240.709226,Yes
11,3,1,Pred,Same,1622.283807,5235.504995,7062.934405,647,5440.650598,1827.42941,1180.42941,Yes
11,3,1,Pred,Same,1444.990786,5401.440379,7411.219682,1153,5966.228895,2009.779302,856.7793024,Yes
11,3,1,Pred,Same,1493.795261,5512.217553,7485.138179,1269,5991.342918,1972.920626,703.9206257,Yes
11,3,1,Pred,Same,1648.61777,5317.77342,6496.830631,555,4848.212861,1179.057211,624.0572112,Yes
11,3,1,Pred,Same,1643.650262,5332.739213,6734.637147,810,5090.986885,1401.897934,591.8979336,Yes
11,3,1,Pred,Same,1474.802063,5347.103907,6334.194837,447,4859.392774,987.0909301,540.0909301,Yes
11,3,1,Pred,Same,1637.163834,5260.876762,6545.865854,824,4908.702021,1284.989092,460.9890922,Yes
11,3,1,Pred,Same,1477.238656,5292.825703,6624.684503,891,5147.445847,1331.858799,440.8587994,Yes
11,3,1,Pred,Same,1643.142904,5369.275986,6706.405083,948,5063.262178,1337.129096,389.1290964,Yes
11,3,1,Pred,Same,1502.905735,5433.461828,6772.633594,1009,5269.727858,1339.171766,330.171766,Yes
11,3,1,Pred,Same,1644.546728,5255.776494,6396.577149,927,4752.030421,1140.800655,213.8006551,Yes
11,3,1,Pred,Same,1482.356546,5430.313839,6215.195049,707,4732.838503,784.8812098,77.88120981,Yes
12,3,1,Pred,Same,1646.651779,5414.701358,7758.096787,681,6111.445007,2343.395429,1662.395429,y
12,3,1,Pred,Same,1480.121498,5449.372257,7204.429764,775,5724.308266,1755.057507,980.057507,y
12,3,1,Pred,Same,1492.20185,5551.941859,6612.730333,399,5120.528483,1060.788474,661.7884742,y
12,3,1,Pred,Same,1634.206218,5264.052595,6725.606439,824,5091.40022,1461.553844,637.5538437,y
12,3,1,Pred,Same,1645.849149,5270.103274,6622.406925,810,4976.557776,1352.303652,542.3036516,y
12,3,1,Pred,Same,1478.129428,5492.546217,7291.300811,1269,5813.171384,1798.754594,529.7545944,y
12,3,1,Pred,Same,1642.59608,5317.00112,6295.550014,555,4652.953934,978.548894,423.548894,n
12,3,1,Pred,Same,1646.081921,5377.4394,6741.644795,948,5095.562874,1364.205394,416.2053942,y
12,3,1,Pred,Same,1495.554291,5312.256741,6502.706517,891,5007.152226,1190.449776,299.4497761,y
12,3,1,Pred,Same,1664.229418,5254.099879,6363.525479,927,4699.296061,1109.4256,182.4255995,y
12,3,1,Pred,Same,1453.389797,5407.567975,6485.374498,1009,5031.984701,1077.806522,68.80652238,y
13,3,1,Pred,Same,1478.868439,5426.786427,8706.858273,1153,7227.989833,3280.071846,,y
13,3,1,Pred,Same,1634.787915,5249.449425,7421.719423,647,5786.931508,2172.269998,1525.269998,y
13,3,1,Pred,Same,1627.416125,5436.817,7244.726072,681,5617.309947,1807.909072,1126.909072,y
13,3,1,Pred,Same,1477.054119,5537.847207,6890.971163,399,5413.917044,1353.123955,954.1239554,y
13,3,1,Pred,Same,1665.587092,5258.184401,6719.932473,810,5054.345382,1461.748072,651.7480724,y
13,3,1,Pred,Same,1486.914734,5327.586028,6810.0479,891,5323.133166,1482.461872,591.4618717,n
13,3,1,Pred,Same,1662.674995,5274.650396,6661.191088,927,4998.516093,1386.540692,459.5406918,y
13,3,1,Pred,Same,1490.887384,5446.392275,7668.290502,1768,6177.403118,2221.898226,453.8982264,y
13,3,1,Pred,Same,1642.502109,5315.462157,6317.17621,555,4674.674101,1001.714053,446.7140531,y
13,3,1,Pred,Same,1480.882376,5751.275333,6935.066249,742,5454.183874,1183.790916,441.7909163,y
13,3,1,Pred,Same,1480.807675,5453.760488,6816.040821,1009,5335.233146,1362.280333,353.2803332,y
13,3,1,Pred,Same,1643.935293,5373.879332,6616.010163,948,4972.07487,1242.130832,294.1308316,y
13,3,1,Pred,Same,1519.963358,5534.658278,6989.988431,1269,5470.025073,1455.330153,186.3301526,y
13,3,1,Pred,Same,1633.93934,5262.593238,6237.988351,824,4604.04901,975.3951127,151.3951127,y
15,3,1,Pred,Same,1487.942535,5549.053374,6585.252039,399,5097.309504,1036.198665,637.1986654,y
15,3,1,Pred,Same,1632.828577,5367.799626,6937.806004,948,5304.977428,1570.006378,622.006378,n
15,3,1,Pred,Same,1643.507355,5272.678342,6340.422134,824,4696.914779,1067.743791,243.7437914,y
16,3,1,Pred,Same,1489.67993,5574.446947,7472.794965,399,5983.115035,1898.348018,1499.348018,y
16,3,1,Pred,Same,1647.947636,5320.583183,6799.328231,555,5151.380595,1478.745047,923.7450473,y
16,3,1,Pred,Same,1482.892927,5776.963561,7120.725212,742,5637.832285,1343.761651,601.7616514,y
16,3,1,Pred,Same,1632.55392,5262.675437,6377.559542,824,4745.005621,1114.884105,290.8841053,y
16,3,1,Pred,Same,1654.707048,5266.96414,6400.312822,927,4745.605775,1133.348683,206.3486826,y
16,3,1,Pred,Same,1689.556233,5393.684902,6508.333545,948,4818.777312,1114.648643,166.6486432,n
17,3,1,Pred,Same,1512.341262,5526.610401,9914.409544,1269,8402.068282,4387.799143,,y
17,3,1,Pred,Same,1490.255624,5307.818613,7878.330368,891,6388.074744,2570.511754,1679.511754,y
17,3,1,Pred,Same,1623.012151,5296.260496,6974.15296,555,5351.140809,1677.892464,1122.892464,y
17,3,1,Pred,Same,1475.240959,5427.674184,8189.021804,1768,6713.780845,2761.347619,993.3476192,y
17,3,1,Pred,Same,1495.393504,5579.283591,6671.115043,399,5175.72154,1091.831452,692.8314518,y
17,3,1,Pred,Same,1643.598518,5233.750739,6609.651668,810,4966.05315,1375.90093,565.9009295,y
17,3,1,Pred,Same,1449.923394,5434.2435,6615.945085,707,5166.02169,1181.701584,474.7015844,y
17,3,1,Pred,Same,1484.068934,5438.01235,6839.420094,1009,5355.35116,1401.407744,392.4077442,y
17,3,1,Pred,Same,1686.45596,5454.106306,6506.822393,681,4820.366432,1052.716086,371.7160862,y
17,3,1,Pred,Same,1468.33261,5739.705153,6830.868273,742,5362.535663,1091.16312,349.16312,y
17,3,1,Pred,Same,1451.429904,5414.558439,6454.96623,775,5003.536326,1040.407791,265.407791,y
17,3,1,Pred,Same,1620.239884,5225.276359,6163.228699,824,4542.988815,937.9523403,113.9523403,y
17,3,1,Pred,Same,1626.681348,5348.64782,6338.906447,948,4712.225099,990.2586266,42.25862655,y
17,3,1,Pred,Same,1643.687732,5232.38446,6129.068111,927,4485.380379,896.6836513,-30.31634872,y
18,3,1,Pred,Same,1495.297923,5764.903125,7542.904548,742,6047.606625,1778.001423,1036.001423,y
18,3,1,Pred,Same,1450.039374,5268.734353,6992.26133,891,5542.221956,1723.526977,832.526977,y
18,3,1,Pred,Same,1643.297465,5315.954064,6460.754266,555,4817.456801,1144.800202,589.800202,n
18,3,1,Pred,Same,1650.568653,5459.579073,6665.733193,681,5015.16454,1206.15412,525.15412,y
18,3,1,Pred,Same,1490.579206,5550.755341,6269.147539,399,4778.568333,718.392198,319.392198,y
18,3,1,Pred,Same,1640.531092,5271.502295,6359.221679,824,4718.690586,1087.719383,263.719383,y
18,3,1,Pred,Same,1665.808274,5258.621783,6186.551872,810,4520.743598,927.930089,117.930089,y
18,3,1,Pred,Same,1632.673373,5244.47738,6283.81267,927,4651.139297,1039.335289,112.335289,y
18,3,1,Pred,Same,1490.879695,5507.94153,6720.341657,1269,5229.461962,1212.400127,-56.599873,y
18,3,1,Pred,Same,1488.720862,5440.057357,6330.839411,1009,4842.118549,890.782054,-118.217946,y
19,3,1,Pred,Same,1545.842417,5450.499132,8198.829684,1009,6652.987267,2748.330552,1739.330552,n
19,3,1,Pred,Same,1658.777771,5262.238869,6913.880703,824,5255.102932,1651.641834,827.6418335,y
19,3,1,Pred,Same,1642.865514,5315.124932,6566.237883,555,4923.372368,1251.112951,696.1129509,y
19,3,1,Pred,Same,1502.773884,5563.824955,6647.328374,399,5144.55449,1083.503419,684.5034191,y
19,3,1,Pred,Same,1494.380424,5762.396359,7153.560172,742,5659.179748,1391.163813,649.1638127,y 
19,3,1,Pred,Same,1646.640772,5256.804789,6806.360074,927,5159.719302,1549.555286,622.5552857,y
19,3,1,Pred,Same,1641.838135,5254.77094,6458.221855,810,4816.383721,1203.450916,393.4509156,y
19,3,1,Pred,Same,1489.955583,5308.459585,6479.827045,891,4989.871461,1171.36746,280.3674595,y
19,3,1,Pred,Same,1641.478576,5372.940525,6511.127048,948,4869.648473,1138.186523,190.1865232,y
20,3,1,Pred,Same,1486.78465,5548.991682,8435.099052,399,6948.314403,2886.107371,,y
20,3,1,Pred,Same,1459.955991,5382.574791,8006.515137,788,6546.559146,2623.940346,1835.940346,y
20,3,1,Pred,Same,1758.202177,5312.315839,7134.208319,539,5376.006142,1821.892481,1282.892481,y
20,3,1,Pred,Same,1483.181105,5477.368154,7510.914841,959,6027.733736,2033.546687,1074.546687,y
20,3,1,Pred,Same,1491.06956,5446.519242,8164.4899,1768,6673.42034,2717.970658,949.9706578,y
20,3,1,Pred,Same,1663.884032,5282.221126,6775.650156,647,5111.766124,1493.42903,846.4290303,y
20,3,1,Pred,Same,1655.07473,5263.21817,6876.847069,810,5221.772339,1613.6289,803.6288998,y
20,3,1,Pred,Same,1647.320925,5319.743338,6574.309825,555,4926.9889,1254.566488,699.5664876,y
20,3,1,Pred,Same,1642.902842,5254.743462,6863.223186,927,5220.320344,1608.479724,681.4797244,y
20,3,1,Pred,Same,1477.005794,5379.553472,6507.837143,447,5030.83135,1128.283671,681.283671,y
20,3,1,Pred,Same,1475.229096,5437.78428,6850.241879,775,5375.012783,1412.457599,637.4575985,y
20,3,1,Pred,Same,1643.556263,5273.851138,6728.447071,824,5084.890808,1454.595933,630.5959334,n
20,3,1,Pred,Same,1476.323751,5437.601833,6759.981266,707,5283.657515,1322.379432,615.3794321,y
20,3,1,Pred,Same,1490.137411,5432.42952,7045.820581,1009,5555.683171,1613.391061,604.3910611,y
20,3,1,Pred,Same,1469.496999,5310.039802,6705.174413,863,5235.677415,1395.134611,532.1346109,y
20,3,1,Pred,Same,1680.455829,5404.373991,7202.352646,1329,5521.896817,1797.978655,468.9786553,y
20,3,1,Pred,Same,1474.330378,5293.184568,6636.612246,891,5162.281869,1343.427678,452.4276785,y
20,3,1,Pred,Same,1642.369579,5452.340496,6570.710827,681,4928.341248,1118.370331,437.3703312,y
20,3,1,Pred,Same,1482.786533,5497.099039,7056.08245,1269,5573.295917,1558.983411,289.9834112,y
20,3,1,Pred,Same,1490.540815,5783.290444,6655.954296,742,5165.41348,872.6638523,130.6638523,y
21,3,1,Pred,Same,1525.279797,5270.631757,7514.27579,399,5988.995993,2243.644033,1844.644033,y
21,3,1,Pred,Same,1509.509384,5503.581113,7936.098929,959,6426.589545,2432.517816,1473.517816,y
21,3,1,Pred,Same,1640.831169,5314.937458,6882.477115,555,5241.645946,1567.539658,1012.539658,y
21,3,1,Pred,Same,1497.769804,5336.293052,7098.211553,863,5600.441749,1761.918501,898.9185009,y
21,3,1,Pred,Same,1490.085543,5411.375525,6957.945435,788,5467.859892,1546.56991,758.5699097,y
21,3,1,Pred,Same,1493.959714,5454.608706,6800.620567,707,5306.660853,1346.01186,639.0118605,y
21,3,1,Pred,Same,1641.979615,5450.899868,6643.393387,681,5001.413772,1192.493519,511.493519,y
21,3,1,Pred,Same,1654.233216,5210.361507,6243.720753,539,4589.487537,1033.359246,494.3592456,y
21,3,1,Pred,Same,1490.433387,5575.068631,6468.357087,399,4977.923701,893.288456,494.288456,y
21,3,1,Pred,Same,1482.962389,5296.977322,6477.33322,715,4994.370831,1180.355897,465.3558974,y
21,3,1,Pred,Same,1645.775619,5274.088894,6483.01526,824,4837.239641,1208.926366,384.9263662,y
21,3,1,Pred,Same,1649.816314,5262.990931,6277.975002,647,4628.158688,1014.984071,367.9840709,y
21,3,1,Pred,Same,1498.817245,5378.153366,6182.316992,447,4683.499748,804.1636264,357.1636264,y
21,3,1,Pred,Same,1642.63208,5605.793476,6736.030282,775,5093.398202,1130.236806,355.2368063,y
21,3,1,Pred,Same,1494.125652,5441.469293,6949.439188,1153,5455.313536,1507.969895,354.9698948,y
21,3,1,Pred,Same,1786.187012,5363.97446,6416.304353,810,4630.117341,1052.329893,242.3298928,y
21,3,1,Pred,Same,1602.127442,5419.979909,6523.865346,891,4921.737904,1103.885437,212.8854371,y
21,3,1,Pred,Same,1682.318229,5288.083431,6415.996608,927,4733.678378,1127.913176,200.9131763,y
21,3,1,Pred,Same,1518.427089,5533.319006,6972.7657,1269,5454.338612,1439.446695,170.4466945,y
21,3,1,Pred,Same,1511.986041,5779.895188,6688.962431,742,5176.976389,909.0672427,167.0672427,y
21,3,1,Pred,Same,1475.368308,5428.311236,6577.407284,1009,5102.038977,1149.096048,140.0960484,y
21,3,1,Pred,Same,1518.841342,5472.253412,7259.565746,1768,5740.724404,1787.312334,19.31233396,y
21,3,1,Pred,Same,1685.924453,5432.269323,6716.639328,1329,5030.714875,1284.370004,-44.62999563,y
21,3,1,Pred,Same,1643.710308,5372.306298,6214.821548,948,4571.111239,842.5152502,-105.4847498,y
22,3,1,Pred,Same,1668.243517,5286.140776,7285.708339,647,5617.464822,1999.567563,1352.567563,y
22,3,1,Pred,Same,1496.824416,5556.898292,6497.877983,399,5001.053567,940.9796911,541.9796911,y
22,3,1,Pred,Same,1585.900674,5398.214088,6237.577407,447,4651.676733,839.3633188,392.3633188,y
22,3,1,Pred,Same,1675.150233,5256.18411,6491.367437,927,4816.217204,1235.183327,308.1833273,y
22,3,1,Pred,Same,1635.551361,5308.384662,6061.392283,555,4425.840922,753.0076212,198.0076212,y
22,3,1,Pred,Same,1495.746655,5771.724518,6635.983873,742,5140.237218,864.2593552,122.2593552,y
22,3,1,Pred,Same,1644.527222,5418.613359,6809.606474,1329,5165.079252,1390.993115,61.99311532,y
22,3,1,Pred,Same,1641.055647,5371.861886,6381.404265,948,4740.348618,1009.542379,61.54237903,y
22,3,1,Pred,Same,1649.657082,5277.898628,6145.582651,824,4495.925568,867.6840231,43.68402313,y
22,3,1,Pred,Same,1461.330291,5412.951605,6539.913149,1153,5078.582858,1126.961544,-26.03845612,y
22,3,1,Pred,Same,1485.846426,5441.019177,6060.041762,707,4574.195336,619.0225849,-87.97741509,y
22,3,1,Pred,Same,1490.800515,5447.854357,6683.981673,1768,5193.181157,1236.127316,-531.8726842,y
23,3,1,Pred,Same,1454.736612,5469.273873,7888.852623,1269,6434.116011,2419.578749,1150.578749,y
23,3,1,Pred,Same,1452.748248,5332.243732,6542.816874,447,5090.068626,1210.573142,763.5731423,y
23,3,1,Pred,Same,1618.792903,5314.761705,6495.496471,555,4876.703569,1180.734767,625.7347669,n
23,3,1,Pred,Same,1614.33713,5423.95592,6711.471715,681,5097.134585,1287.515795,606.5157954,y
23,3,1,Pred,Same,1468.893594,5531.293645,6508.863353,399,5039.96976,977.569708,578.569708,y
23,3,1,Pred,Same,1640.367858,5258.169659,6540.480798,810,4900.11294,1282.311139,472.3111391,y
23,3,1,Pred,Same,1435.808551,5400.741172,6641.771709,775,5205.963158,1241.030537,466.0305372,y
23,3,1,Pred,Same,1444.11769,5394.18871,6980.685986,1153,5536.568296,1586.497275,433.4972754,y
23,3,1,Pred,Same,1468.16004,5428.594852,6440.426185,707,4972.266145,1011.831333,304.831333,y
23,3,1,Pred,Same,1640.814402,5255.731889,6172.596221,647,4531.78182,916.8643325,269.8643325,y
23,3,1,Pred,Same,1468.078854,5738.035728,6665.849691,742,5197.770837,927.8139629,185.8139629,y
23,3,1,Pred,Same,1478.542804,5431.395312,6569.05551,1009,5090.512706,1137.660198,128.6601982,y
23,3,1,Pred,Same,1619.193908,5351.202778,6380.048736,948,4760.854827,1028.845958,80.84595799,y
23,3,1,Pred,Same,1615.708721,5265.789029,6083.029732,824,4467.321011,817.2407037,-6.759296336,y
23,3,1,Pred,Same,1620.494397,5363.470266,6676.568376,1329,5056.073979,1313.09811,-15.90189024,y
23,3,1,Pred,Same,1472.745688,5426.523289,6936.603177,1768,5463.857489,1510.079888,-257.9201118,y
27,3,1,Pred,Same,1493.111005,5761.636432,7732.826629,742,6239.715623,1971.190197,1229.190197,y
27,3,1,Pred,Same,1460.703295,5445.650377,6948.015146,775,5487.311851,1502.364769,727.364769,y
27,3,1,Pred,Same,1493.129462,5553.334776,6600.847118,399,5107.717656,1047.512342,648.5123419,y
27,3,1,Pred,Same,1602.09243,5332.522093,6819.052185,948,5216.959756,1486.530093,538.5300928,y
27,3,1,Pred,Same,1474.778494,5490.287073,7273.194937,1269,5798.416443,1782.907864,513.9078642,y
27,3,1,Pred,Same,1640.31712,5313.263132,6367.930575,555,4727.613456,1054.667443,499.6674434,y
27,3,1,Pred,Same,1640.57509,5272.824016,6537.002014,824,4896.426924,1264.177998,440.1779979,y
27,3,1,Pred,Same,1649.911393,5267.295943,6504.914308,810,4855.002915,1237.618365,427.6183649,y
27,3,1,Pred,Same,1633.17861,5246.019104,6438.349891,927,4805.171281,1192.330787,265.3307872,y
27,3,1,Pred,Same,1646.943722,5455.947802,6365.577237,681,4718.633515,909.6294346,228.6294346,y
27,3,1,Pred,Same,1517.453979,5333.207522,6363.082732,891,4845.628753,1029.87521,138.8752101,y
27,3,1,Pred,Same,1502.70818,5463.318044,6227.359039,707,4724.650859,764.0409957,57.04099573,y
27,3,1,Pred,Same,1473.013582,5422.055814,6485.21699,1009,5012.203408,1063.161176,54.16117634,y
27,3,1,Pred,Same,1461.582085,5416.258937,6675.129159,1768,5213.547073,1258.870222,-509.1297784,y
29,3,1,Pred,Same,1493.494696,5765.296282,9363.698981,742,7870.204285,3598.402699,,y
29,3,1,Pred,Same,1648.168531,5375.454683,8669.827728,948,7021.659197,3294.373045,,y
29,3,1,Pred,Same,1490.53618,5552.932095,6675.141937,399,5184.605757,1122.209842,723.2098416,y
29,3,1,Pred,Same,1668.276769,5275.104781,6362.539679,824,4694.26291,1087.434898,263.4348979,y
30,3,1,Pred,Same,1646.464308,5316.691825,9182.21681,555,7535.752502,3865.524985,,y
30,3,1,Pred,Same,1643.835233,5271.583294,8955.083679,824,7311.248446,3683.500385,,y
30,3,1,Pred,Same,1473.128607,5534.857022,6952.992589,399,5479.863982,1418.135567,1019.135567,y
30,3,1,Pred,Same,1657.292821,5293.944201,7047.882724,810,5390.589904,1753.938524,943.9385236,y
30,3,1,Pred,Same,1494.592649,5765.1523,7205.339665,742,5710.747016,1440.187366,698.1873657,y
30,3,1,Pred,Same,1644.965829,5257.160612,6563.83,927,4918.864171,1306.669388,379.6693877,y
30,3,1,Pred,Same,1504.330913,5512.881402,6964.705243,1269,5460.37433,1451.823841,182.8238409,y
30,3,1,Pred,Same,1662.815883,5392.431037,6201.332574,948,4538.516691,808.9015372,-139.0984628,"""he left his telescope"""
31,3,1,Pred,Same,1656.098233,5335.597365,7230.09621,555,5573.997977,1894.498845,1339.498845,n
31,3,1,Pred,Same,1663.560075,5449.175454,7171.920196,681,5508.36012,1722.744742,1041.744742,y
31,3,1,Pred,Same,1556.206343,5502.388903,7530.572656,1009,5974.366313,2028.183753,1019.183753,n
